OLIGOTYPE	PHYLUM	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	HMTs	HOMD_SPECIES	STRAIN_CLONE	HOMD_REFSEQ_ID	GB_NCBI_ID	HOMD_STATUS
V1V3_287_Firmicutes	Firmicutes	13	98.828	98.828	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-721,HMT-073,HMT-073,HMT-066,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus parasanguinis clade 721,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 15912,Strain: ATCC 700641,Strain: T1-E5,Clone: FN051,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,721_3933,073_4974,073-T1E5,066FN051,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF003933,AF184974,AF385525,AF432135,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named	
V1V3_288_Firmicutes	Firmicutes	1	99.609	99.609	HMT-122	Megasphaera micronuciformis	Clone: BU057	122BU057	AF385566	Named	
V1V3_289_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-530,HMT-530	Cutibacterium acnes,Cutibacterium acnes	Strain: JCM 6425,Strain: 63597	530N000A,530_5256	NR_113028,AF145256	Named,Named	
V1V3_290_Betaproteobacteria	Betaproteobacteria	1	99.608	99.608	HMT-022	Lautropia mirabilis	Clone: AP009	022AP009	AY005030	Named	
V1V3_291_Firmicutes	Firmicutes	2	99.609	99.609	HMT-755,HMT-755,HMT-021	Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis	Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124	755N000A,755_8839,021_8353	NR_042776,M58839,AY188353	Named,Named,Named	
V1V3_292_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-336	Capnocytophaga sp. HMT 336	Strain: F0502	336F0502	tbd	Unnamed	
V1V3_293_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-332	Capnocytophaga sp. HMT 332	Clone: DS022	332DS022	AF366270	Unnamed	
V1V3_294_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-472	Prevotella sp. HMT 472	Clone: GU027	472GU027	AY349398	Unnamed	
V1V3_295_TM7	TM7	1	99.149	99.149	HMT-870	Saccharibacteria (TM7) [G-6] bacterium HMT 870	Clone: 4W45	870_4W45	KM018322	Phylotype	
V1V3_296_Actinobacteria	Actinobacteria	2	98.238	98.673	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_297_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-286	Tannerella sp. HMT 286	Clone: BU063	286BU063	AY008308	Unnamed	
V1V3_298_Gammaproteobacteria	Gammaproteobacteria	1	99.219	99.219	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_299_Actinobacteria	Actinobacteria	2	99.558	99.558	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_300_Fusobacteria	Fusobacteria	1	96.047	96.047	HMT-844	Sneathia amnii [Not Validly Published]	Strain: AMN-1	844_8425	AY078425	Named	
V1V3_301_Firmicutes	Firmicutes	1	100.0	100.0	HMT-686	Streptococcus mutans	Strain: NCTC 10449	686_3965	AJ243965	Named	
V1V3_302_Gammaproteobacteria	Gammaproteobacteria	2	98.828	98.828	HMT-035,HMT-945,HMT-945	Haemophilus paraphrohaemolyticus,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus	Strain: NCTC 10670,Strain: NCTC 8479,Strain: G321	035_8142,945_5746,945_5384	NR_118142,AJ295746,LK985384	Named,Named,Named	
V1V3_303_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_304_Betaproteobacteria	Betaproteobacteria	1	98.824	98.824	HMT-476	Neisseria subflava	Strain: U37	476_9291	AJ239291	Named	
V1V3_305_Fusobacteria	Fusobacteria	2	99.605	99.605	HMT-909,HMT-224	Leptotrichia sp. HMT 909,Leptotrichia hofstadii	Clone: CP4_C6,Strain: FAC5	909-Wade,224_7813	KC203062,AF287813	Phylotype,Named	
V1V3_306_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-279,HMT-279	Porphyromonas pasteri,Porphyromonas pasteri	Strain: F0450d,Clone: CW034	279F450d,279CW034	tbd,AY008310	Named,Named	
V1V3_307_Firmicutes	Firmicutes	1	100.0	100.0	HMT-557	Peptostreptococcaceae [XI][G-9] [Eubacterium] brachy	Strain: ATCC 33089	557_3038	U13038	Named	
V1V3_308_Spirochaetes	Spirochaetes	1	100.0	100.0	HMT-769,HMT-769,HMT-769	Treponema socranskii,Treponema socranskii,Treponema socranskii	Clone: _C044,Strain: ATCC 35534,Strain: D11B-2	769_C044,769_3305,769_3308	AF056344,AF033305,AF033308	Named,Named,Named	
V1V3_309_Firmicutes	Firmicutes	1	100.0	100.0	HMT-478,HMT-478	Selenomonas sp. HMT 478,Selenomonas sp. HMT 478	Clone: GI064,Strain: F0592	478GI064,478F0592	AY349404,tbd	Unnamed,Unnamed	
V1V3_310_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-325	Capnocytophaga granulosa	Strain: LMG 16022	325_1347	U41347	Named	
V1V3_311_Firmicutes	Firmicutes	1	100.0	100.0	HMT-046	Gemella morbillorum	Strain: ATCC 27824	046_4327	L14327	Named	
V1V3_312_Gammaproteobacteria	Gammaproteobacteria	1	100.0	100.0	HMT-633	Cardiobacterium hominis	Strain: ATCC 16826	633_5014	M35014	Named	
V1V3_313_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-943	Prevotella aurantiaca	Strain: OMA31	943_2878	NR_112878	Named	
V1V3_314_Firmicutes	Firmicutes	1	99.609	99.609	HMT-046	Gemella morbillorum	Strain: ATCC 27824	046_4327	L14327	Named	
V1V3_315_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-302	Alloprevotella rava	Strain: W6968	302_9190	JQ039190	Named	
V1V3_316_Firmicutes	Firmicutes	13	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-721,HMT-073,HMT-073,HMT-066,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus parasanguinis clade 721,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 15912,Strain: ATCC 700641,Strain: T1-E5,Clone: FN051,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,721_3933,073_4974,073-T1E5,066FN051,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF003933,AF184974,AF385525,AF432135,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named	
V1V3_317_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-326	Capnocytophaga sp. HMT 326	Strain: F0382	326F0382	tbd	Unnamed	
V1V3_318_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-619	Porphyromonas gingivalis	Strain: DSM 20709	619_3964	X73964	Named	
V1V3_319_Fusobacteria	Fusobacteria	2	99.605	99.605	HMT-200,HMT-200,HMT-200,HMT-202	Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. polymorphum	Clone: AJ050,Clone: 071075_343,Strain: ATCC 49256,Strain: ATCC 10953	200AJ050,200_7962,200_0026,202_7812	AF287805,JQ477962,NZ_AABF02000026,AF287812	Named,Named,Named,Named	
V1V3_320_Firmicutes	Firmicutes	1	100.0	100.0	HMT-046	Gemella morbillorum	Strain: 933-88	046_3366	Y13366	Named	
V1V3_321_Bacteroidetes	Bacteroidetes	1	99.535	100.0	HMT-085	Ruminococcaceae [G-2] bacterium HMT 085	Clone: BU014	085BU014	AF385563	Phylotype	
V1V3_322_Betaproteobacteria	Betaproteobacteria	1	100.0	99.216	HMT-598	Neisseria elongata	Strain: ATCC 25295	598_6171	L06171	Named	
V1V3_323_Actinobacteria	Actinobacteria	2	99.119	99.558	HMT-180,HMT-180,HMT-671	Schaalia sp. HMT 180,Schaalia sp. HMT 180,Schaalia meyeri	Strain: C3M24,Strain: C29KA,Strain: CIP 103148	180_8611,180C29KA,671_2451	AY278611,AF287751,X82451	Unnamed,Unnamed,Named	
V1V3_324_Actinobacteria	Actinobacteria	1	98.673	98.673	HMT-181	Schaalia lingnae [Not Validly Published]	Clone: ncd2206a07c1	181_1692	JF191692	Named	
V1V3_325_Firmicutes	Firmicutes	1	99.609	99.609	HMT-626	Gemella haemolysans	Strain: ATCC 10379	626_4326	L14326	Named	
V1V3_326_Spirochaetes	Spirochaetes	1	100.0	100.0	HMT-584	Treponema denticola	Strain: ATCC 33520	584_1236	M71236	Named	
V1V3_327_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_328_Betaproteobacteria	Betaproteobacteria	1	98.824	98.824	HMT-022	Lautropia mirabilis	Strain: Fredericksen	022_3223	X73223	Named	
V1V3_329_Firmicutes	Firmicutes	1	100.0	100.0	HMT-100	Lachnospiraceae [G-3] bacterium HMT 100	Clone: EI074	100EI074	AF385573	Phylotype	
V1V3_330_Betaproteobacteria	Betaproteobacteria	1	99.608	99.608	HMT-022	Lautropia mirabilis	Strain: Fredericksen	022_3223	X73223	Named	
V1V3_331_Actinobacteria	Actinobacteria	1	98.23	98.23	HMT-181	Schaalia lingnae [Not Validly Published]	Clone: ncd2206a07c1	181_1692	JF191692	Named	
V1V3_332_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_333_Firmicutes	Firmicutes	2	99.609	99.609	HMT-755,HMT-755,HMT-021	Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis	Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124	755N000A,755_8839,021_8353	NR_042776,M58839,AY188353	Named,Named,Named	
V1V3_334_Firmicutes	Firmicutes	1	96.484	98.8	HMT-678	Solobacterium moorei	Strain: AHP 13983	678_4915	AY044915	Named	
V1V3_335_Gammaproteobacteria	Gammaproteobacteria	1	100.0	100.0	HMT-908	Haemophilus sp. HMT 908	Clone: ELU0149-000192	908_1362	HQ801362	Phylotype	
V1V3_336_Fusobacteria	Fusobacteria	1	99.605	99.605	HMT-219	Leptotrichia sp. HMT 219	Clone: EI022	219EI022	AF385572	Phylotype	
V1V3_337_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-336,HMT-336	Capnocytophaga sp. HMT 336,Capnocytophaga sp. HMT 336	Clone: _X089,Clone: 070035_613	336_X089,336_2363	AY005080,JQ462363	Unnamed,Unnamed	
V1V3_338_Firmicutes	Firmicutes	2	100.0	100.0	HMT-111,HMT-111,HMT-110	Parvimonas micra,Parvimonas micra,Parvimonas sp. HMT 110	Clone: BS044,Strain: ATCC 33270,Strain: MDA2346-2	111BS044,111_3523,110_6545	AF385559,AY323523,AY286545	Named,Named,Unnamed	
V1V3_339_Firmicutes	Firmicutes	12	99.598	96.875	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_340_Actinobacteria	Actinobacteria	2	99.119	99.558	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_341_Betaproteobacteria	Betaproteobacteria	1	99.608	99.608	HMT-476	Neisseria subflava	Strain: U37	476_9291	AJ239291	Named	
V1V3_342_Bacteroidetes	Bacteroidetes	1	99.07	99.07	HMT-311,HMT-311	Prevotella oris,Prevotella oris	Strain: ATCC 33573,Clone: _F045	311_6474,311_F045	L16474,AY005056	Named,Named	
V1V3_343_Firmicutes	Firmicutes	1	99.609	99.609	HMT-389	Abiotrophia defectiva	Strain: ATCC 49176	389_0541	D50541	Named	
V1V3_344_Firmicutes	Firmicutes	1	99.609	99.609	HMT-780,HMT-780	Veillonella sp. HMT 780,Veillonella sp. HMT 780	Strain: F0009,Clone: HB016	780F0009,780_7189	GQ422743,DQ087189	Unnamed,Unnamed	
V1V3_345_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-690	Fusobacterium necrophorum	Strain: D4	690_4948	AF044948	Named	
V1V3_346_Gammaproteobacteria	Gammaproteobacteria	2	98.438	98.438	HMT-035,HMT-945,HMT-945	Haemophilus paraphrohaemolyticus,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus	Strain: NCTC 10670,Strain: NCTC 8479,Strain: G321	035_8142,945_5746,945_5384	NR_118142,AJ295746,LK985384	Named,Named,Named	
V1V3_347_Actinobacteria	Actinobacteria	2	97.788	97.788	HMT-188,HMT-188,HMT-587	Rothia aeria,Rothia aeria,Rothia dentocariosa	Strain: CCUG 25688,Clone: ncd2429e02c1,Strain: ATCC 17931	188_3025,188_0891,587_9055	Y13025,JF210891,M59055	Named,Named,Named	
V1V3_348_Firmicutes	Firmicutes	1	99.609	99.609	HMT-130,HMT-130	Selenomonas noxia,Selenomonas noxia	Strain: ATCC 43541,Clone: CI002	130Snoxi,130CI002	AF287799,AF287798	Named,Named	
V1V3_349_Firmicutes	Firmicutes	2	99.219	99.219	HMT-755,HMT-755,HMT-021	Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis	Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124	755N000A,755_8839,021_8353	NR_042776,M58839,AY188353	Named,Named,Named	
V1V3_350_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-212	Leptotrichia sp. HMT 212	Clone: BU064	212BU064	AY008309	Unnamed	
V1V3_351_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-176,HMT-176	Actinomyces naeslundii,Actinomyces naeslundii	Clone: 069082_029,Clone: EP011	176_0512,176EP011	JQ450512,AY008315	Named,Named	
V1V3_352_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_353_Actinobacteria	Actinobacteria	3	98.678	99.115	HMT-180,HMT-172,HMT-181	Schaalia sp. HMT 180,Schaalia sp. HMT 172,Schaalia lingnae [Not Validly Published]	Strain: Hal-1083,Clone: CT047,Clone: ncd2206a07c1	180H1083,172CT047,181_1692	AF385522,AF385504,JF191692	Unnamed,Unnamed,Named	
V1V3_354_Firmicutes	Firmicutes	13	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-721,HMT-073,HMT-073,HMT-066,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus parasanguinis clade 721,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 15912,Strain: ATCC 700641,Strain: T1-E5,Clone: FN051,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,721_3933,073_4974,073-T1E5,066FN051,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF003933,AF184974,AF385525,AF432135,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Named,Unnamed,Unnamed,Named	
V1V3_355_Actinobacteria	Actinobacteria	1	99.119	99.558	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_356_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-473	Alloprevotella sp. HMT 473	Clone: HF050	473HF050	AY349399	Unnamed	
V1V3_357_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
